theta r1 r2 energy dipole_x dipole_y
120.0000  1.00000  1.20000   -76.15513620 0.66494453 -0.07688108
160.0000  1.00000  1.20000   -76.10744225    0.27622218   -0.19312424
100.0000  1.00000  1.20000   -76.16433094    0.79575975   -0.03800392
 80.0000  1.00000  1.20000   -76.15471091    0.89564207   -0.00611766
 60.0000  1.00000  1.20000   -76.12222644    0.96864262    0.01689485
 50.0000  1.00000  1.20000   -76.09544479 0.99311247 0.02126524
 40.0000  1.00000  1.20000   -76.05626133    1.00144284    0.01813284
 30.0000  1.00000  1.20000   -75.98478583 0.97873165 0.00898622
180.0000  1.00000  1.50000   -76.01255469 0.00000000    -0.60223873
170.0000  1.00000  1.50000   -76.01891405    0.12946657   -0.47519218
160.0000  1.00000  1.50000   -76.03294375    0.24497243   -0.30743630
140.0000  1.00000  1.50000   -76.06386461    0.44975438   -0.14662322
120.0000  1.00000  1.50000   -76.08773822    0.62467095   -0.07073044
100.0000  1.00000  1.50000   -76.09942190    0.76404065   -0.01160493
 80.0000  1.00000  1.50000   -76.09592623    0.86316718    0.04408007
 60.0000  1.00000  1.50000   -76.07514999    0.92465287    0.08901788
 40.0000  1.00000  1.50000   -76.03573565    0.97702950    0.08840954
 60.0000  0.90000  1.30000   -76.09900896    0.95496861    0.03696811
 80.0000  0.90000  1.30000   -76.12972555    0.88630864   -0.01142552
 40.0000  1.10000  1.30000   -76.05059656    0.99760700    0.02036098
 50.0000  1.10000  1.30000   -76.07921364 0.99326051 0.02849595
 60.0000  1.10000  1.30000   -76.09975161    0.97070773    0.02743569
 80.0000  1.10000  1.30000   -76.12522524    0.89931104    0.00833231
100.0000  1.10000  1.30000   -76.13118531    0.79534214   -0.01947974
120.0000  1.10000  1.30000   -76.12009924    0.65676497   -0.05293306
140.0000  1.10000  1.30000   -76.09624936    0.48206170   -0.09909268
160.0000  1.10000  1.30000   -76.06762518    0.26560397   -0.17387855
180.0000  1.10000  1.30000   -76.05222399    0.00000000   -0.24193730
 80.0000  0.60000  1.00000   -75.83550167    0.83319407   -0.06278946
100.0000  0.60000  1.00000   -75.85969237    0.74472788   -0.12567969
120.0000  0.60000  1.00000   -75.85987653    0.63272736   -0.19561838
140.0000  0.60000  1.00000   -75.84505286    0.47791717   -0.27024976
 80.0000  0.60000  0.90000   -75.82791507    0.81174370   -0.04972996
100.0000  0.60000  0.90000   -75.85697120    0.72394123   -0.09499060
120.0000  0.60000  0.90000   -75.86025151    0.61360271   -0.14465658
140.0000  0.60000  0.90000   -75.84757520    0.46129209   -0.19574755
180.0000  0.70000  1.00000   -76.02213542    0.00000000   -0.29101903
170.0000  0.70000  1.00000   -76.02431486    0.13599092   -0.28426361
160.0000  0.70000  1.00000   -76.03039523    0.26409210   -0.26567066
140.0000  0.70000  1.00000   -76.04894027    0.47873832   -0.20886699
120.0000  0.70000  1.00000   -76.06478550    0.63629285   -0.14738615
100.0000  0.70000  1.00000   -76.06598145    0.75195766   -0.09139553
 80.0000  0.70000  1.00000   -76.04368472    0.84324586   -0.04236194
 60.0000  0.70000  1.00000   -75.98990902    0.92498948   -0.00261765
 40.0000  0.70000  1.00000   -75.88469582    1.00255293    0.01890047
